32
33
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	67	123	18	18	18	18	18
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	120	52	90	18	18	18	18	18
18	18	18	18	18	18	18	94	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	58	71	83	18	18	18	18	18
18	18	18	18	18	18	18	51	120	18	18	18	18	18	18	18	18	18	18	18	18	18	18	61	84	79	76	18	18	18	18	18
18	18	18	18	18	18	18	55	57	161	18	18	18	18	18	18	18	18	18	18	18	98	60	87	98	80	71	18	18	18	18	18
18	18	18	18	18	18	18	63	109	74	100	18	18	18	18	18	18	18	130	104	60	85	102	88	83	81	65	18	18	18	18	18
18	18	18	18	18	18	18	88	139	141	137	96	73	133	18	18	177	114	79	88	110	100	79	73	87	80	67	18	18	18	18	18
18	18	129	99	125	18	224	144	202	216	162	144	139	187	235	232	213	158	127	103	91	83	79	75	89	78	75	18	18	18	18	18
18	62	13	35	19	57	134	18	223	236	132	70	147	218	169	222	74	96	137	92	89	85	81	77	92	76	83	18	18	18	18	18
134	10	216	242	117	47	19	209	103	168	105	51	155	210	116	18	125	6	127	94	90	86	82	78	94	73	94	18	18	18	18	18
104	37	251	18	122	86	41	58	151	10	11	64	140	197	43	45	30	15	133	94	90	86	82	78	98	68	118	18	18	18	18	18
209	21	159	175	81	59	51	11	133	133	111	129	132	150	153	55	40	103	109	93	89	85	81	79	100	56	18	18	18	18	18	18
18	27	69	66	61	49	37	13	76	113	110	110	111	126	137	137	135	110	95	91	87	84	80	87	89	60	18	18	18	18	18	18
18	94	26	54	42	31	24	11	70	102	104	105	105	104	103	101	98	95	80	48	82	81	78	98	68	95	18	18	18	18	18	18
18	18	88	15	26	23	15	6	91	97	99	100	100	99	98	96	93	57	10	6	32	79	89	91	54	127	18	18	18	18	18	18
18	18	18	123	18	1	7	66	118	111	99	94	93	90	82	66	45	22	32	82	74	75	93	60	80	120	133	18	18	18	18	18
18	18	18	18	18	209	116	57	63	91	114	113	101	93	88	86	83	82	82	78	78	115	93	65	99	121	128	209	18	18	18	18
18	18	18	18	18	18	133	118	85	58	56	80	102	108	111	106	101	105	103	94	78	56	68	106	109	185	135	18	18	18	18	18
18	18	18	18	18	18	209	130	118	107	84	61	52	51	57	65	71	59	52	52	55	75	94	88	114	185	233	186	118	120	18	18
18	18	18	18	18	18	18	18	135	125	115	107	99	89	78	70	65	72	81	92	98	105	114	123	135	240	18	18	99	114	83	18
18	18	18	18	18	18	18	18	18	18	209	131	125	120	117	115	114	114	116	120	124	132	18	18	18	18	18	110	92	79	56	240
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	108	72	43	98
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	144	75	47
